country,year,total,urban,rural,urban_water_improved,urban_water_piped,urban_water_otherimproved,urban_water_unimproved,rural_water_improved,rural_water_piped,rural_water_otherimproved,rural_water_unimproved,total_water_improved,total_water_piped,total_water_otherimproved,total_water_unimproved,urban_sanitation_improved,urban_sanitation_shared,urban_sanitation_opendefecation,urban_sanitation_otherunimproved,urban_sanitation_unimproved,rural_sanitation_improved,rural_sanitation_shared,rural_sanitation_opendefecation,rural_sanitation_otherunimproved,rural_sanitation_unimproved,total_sanitation_improved,total_sanitation_shared,total_sanitation_opendefecation,total_sanitation_otherunimproved,total_sanitation_unimproved
"Republic of Moldova","1990","4363.95","2040.67","2323.28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of Moldova","1995","4338.75","2008.58","2330.17","1968.00","1567.00","401.00","41.00","2074.00","186.00","1888.00","256.00","4042.00","1753.00","2289.00","297.00","","","","","","","","","","","","","","",""
"Republic of Moldova","2000","4100.26","1828.26","2271.99","1773.00","1426.00","347.00","55.00","1999.00","204.00","1795.00","273.00","3772.00","1630.00","2142.00","328.00","1554.02","127.98","0.00","146.26","274.24","1681.27","113.60","0.00","477.12","590.72","3235.00","242.00","0.00","623.00","865.26"
"Republic of Moldova","2005","3759.33","1601.21","2158.12","1537.00","1265.00","272.00","64.00","1834.00","259.00","1575.00","324.00","3371.00","1524.00","1847.00","388.00","1361.03","112.08","0.00","128.10","240.18","1597.01","107.91","0.00","453.20","561.11","2958.00","220.00","0.00","581.00","801.33"
"Republic of Moldova","2008","3633.37","1513.48","2119.89","1453.00","1196.00","257.00","60.00","1802.00","276.00","1526.00","318.00","3255.00","1472.00","1783.00","378.00","1286.46","105.94","0.00","121.08","227.02","1568.72","105.99","0.00","445.18","551.17","2855.00","212.00","0.00","566.00","778.37"
"Madagascar","1990","11273.00","2656.60","8616.40","2072.00","664.00","1408.00","585.00","1379.00","0.00","1379.00","7237.00","3451.00","664.00","2787.00","7822.00","371.92","690.71","664.15","929.81","2284.68","516.98","775.48","6634.63","689.31","8099.42","889.00","1466.00","7299.00","1619.00","10384.00"
"Madagascar","1995","13121.37","3384.79","9736.58","2572.00","745.00","1827.00","813.00","1947.00","97.00","1850.00","7790.00","4519.00","842.00","3677.00","8603.00","473.87","913.89","778.50","1218.52","2910.92","681.56","1168.39","6426.14","1460.49","9055.02","1156.00","2082.00","7205.00","2679.00","11965.37"
"Madagascar","2000","15275.36","4142.83","11132.53","3024.00","787.00","2237.00","1119.00","2672.00","223.00","2449.00","8461.00","5696.00","1010.00","4686.00","9580.00","621.42","1118.56","869.99","1532.85","3521.41","890.60","1558.55","6011.57","2671.81","10241.93","1512.00","2678.00","6882.00","4205.00","13763.36"
"Madagascar","2005","17614.26","5020.24","12594.02","3564.00","753.00","2811.00","1456.00","3400.00","378.00","3022.00","9194.00","6964.00","1131.00","5833.00","10650.00","753.04","1405.67","953.85","1907.69","4267.20","1133.46","2015.04","5415.43","4030.09","11460.56","1886.00","3421.00","6369.00","5938.00","15728.26"
"Madagascar","2008","19110.94","5631.23","13479.71","3998.00","788.00","3210.00","1633.00","3909.00","539.00","3370.00","9571.00","7907.00","1327.00","6580.00","11204.00","844.68","1576.74","1013.62","2196.18","4786.55","1347.97","2291.55","5122.29","4717.90","12131.74","2193.00","3869.00","6136.00","6914.00","16917.94"
"Maldives","1990","215.52","55.69","159.83","56.00","26.00","30.00","0.00","139.00","0.00","139.00","21.00","195.00","26.00","169.00","21.00","55.69","","0.00","0.00","0.00","92.70","","47.95","19.18","67.13","149.00","","48.00","19.00","66.52"
"Maldives","1995","247.84","63.54","184.30","64.00","32.00","32.00","0.00","160.00","0.00","160.00","24.00","224.00","32.00","192.00","24.00","63.54","","0.00","0.00","0.00","110.58","","51.60","22.12","73.72","175.00","","52.00","22.00","72.84"
