country,year,total,urban,rural,urban_water_improved,urban_water_piped,urban_water_otherimproved,urban_water_unimproved,rural_water_improved,rural_water_piped,rural_water_otherimproved,rural_water_unimproved,total_water_improved,total_water_piped,total_water_otherimproved,total_water_unimproved,urban_sanitation_improved,urban_sanitation_shared,urban_sanitation_opendefecation,urban_sanitation_otherunimproved,urban_sanitation_unimproved,rural_sanitation_improved,rural_sanitation_shared,rural_sanitation_opendefecation,rural_sanitation_otherunimproved,rural_sanitation_unimproved,total_sanitation_improved,total_sanitation_shared,total_sanitation_opendefecation,total_sanitation_otherunimproved,total_sanitation_unimproved
"Central African Republic","2000","3745.73","1409.85","2335.87","1198.00","99.00","1099.00","212.00","1145.00","0.00","1145.00","1191.00","2343.00","99.00","2244.00","1403.00","451.15","253.77","84.59","620.34","958.70","373.74","186.87","934.35","840.91","1962.13","825.00","441.00","1019.00","1461.00","2920.73"
"Central African Republic","2005","4101.48","1561.48","2540.01","1390.00","109.00","1281.00","171.00","1270.00","0.00","1270.00","1270.00","2660.00","109.00","2551.00","1441.00","608.98","343.52","62.46","546.52","952.50","584.20","304.80","863.60","787.40","1955.81","1193.00","649.00","926.00","1334.00","2908.48"
"Central African Republic","2008","4339.26","1671.66","2667.60","1538.00","100.00","1438.00","134.00","1360.00","0.00","1360.00","1308.00","2898.00","100.00","2798.00","1442.00","718.81","401.20","50.15","501.50","952.85","746.93","373.46","826.96","720.25","1920.67","1466.00","774.00","877.00","1221.00","2873.26"
"Canada","1990","27700.85","21213.87","6486.99","21214.00","21214.00","0.00","0.00","6422.00","","6422.00","65.00","27636.00","","6422.00","65.00","21213.87","","0.00","0.00","0.00","6422.12","","","64.87","64.87","27636.00","","","65.00","64.85"
"Canada","1995","29302.09","22760.40","6541.69","22760.00","22760.00","0.00","0.00","6476.00","2486.00","3990.00","66.00","29236.00","25246.00","3990.00","66.00","22760.40","","0.00","0.00","0.00","6476.28","","","65.42","65.41","29236.00","","","65.00","66.09"
"Canada","2000","30686.82","24389.27","6297.55","24389.00","24389.00","0.00","0.00","6235.00","2393.00","3842.00","63.00","30624.00","26782.00","3842.00","63.00","24389.27","","0.00","0.00","0.00","6234.57","","","62.98","62.98","30624.00","","","63.00","62.82"
"Canada","2005","32307.09","25885.08","6422.00","25885.00","25885.00","0.00","0.00","6358.00","2440.00","3918.00","64.00","32243.00","28325.00","3918.00","64.00","25885.08","","0.00","0.00","0.00","6357.78","","","64.22","64.22","32243.00","","","64.00","64.09"
"Canada","2008","33259.35","26732.87","6526.48","26733.00","26733.00","0.00","0.00","6461.00","","6461.00","65.00","33194.00","","6461.00","65.00","26732.87","","0.00","0.00","0.00","6461.21","","","65.26","65.27","33194.00","","","65.00","65.35"
"Switzerland","1990","6714.63","4914.03","1800.60","4914.00","4914.00","0.00","0.00","1801.00","1783.00","18.00","0.00","6715.00","6697.00","18.00","0.00","4914.03","","0.00","0.00","0.00","1800.60","","0.00","0.00","0.00","6715.00","","0.00","0.00","-0.37"
"Switzerland","1995","7038.27","5178.62","1859.65","5179.00","5179.00","0.00","0.00","1860.00","1841.00","19.00","0.00","7039.00","7020.00","19.00","0.00","5178.62","","0.00","0.00","0.00","1859.65","","0.00","0.00","0.00","7039.00","","0.00","0.00","-0.73"
"Switzerland","2000","7184.18","5267.58","1916.60","5268.00","5268.00","0.00","0.00","1917.00","1897.00","20.00","0.00","7185.00","7165.00","20.00","0.00","5267.58","","0.00","0.00","0.00","1916.60","","0.00","0.00","0.00","7185.00","","0.00","0.00","-0.82"
"Switzerland","2005","7441.00","5453.51","1987.49","5454.00","5454.00","0.00","0.00","1987.00","1968.00","19.00","0.00","7441.00","7422.00","19.00","0.00","5453.51","","0.00","0.00","0.00","1987.49","","0.00","0.00","0.00","7441.00","","0.00","0.00","0.00"
"Switzerland","2008","7541.30","5538.94","2002.36","5539.00","5539.00","0.00","0.00","2002.00","1982.00","20.00","0.00","7541.00","7521.00","20.00","0.00","5538.94","","0.00","0.00","0.00","2002.36","","0.00","0.00","0.00","7541.00","","0.00","0.00","0.30"
"Chile","1990","13190.52","10983.87","2206.64","10874.00","10654.00","220.00","110.00","1059.00","485.00","574.00","1148.00","11933.00","11139.00","794.00","1258.00","9995.33","","549.19","439.35","988.54","1059.19","","154.46","992.99","1147.45","11054.00","","703.00","1432.00","2136.52"
"Chile","1995","14410.02","12158.02","2252.00","12036.00","11915.00","121.00","122.00","1284.00","676.00","608.00","968.00","13320.00","12591.00","729.00","1090.00","11306.96","","486.32","364.74","851.06","1328.68","","112.60","810.72","923.32","12636.00","","599.00","1176.00","1774.02"
"Chile","2000","15418.70","13251.76","2166.95","13119.00","12987.00","132.00","133.00","1430.00","845.00","585.00","737.00","14549.00","13832.00","717.00","870.00","12721.69","","265.04","265.04","530.07","1538.53","","86.68","541.74","628.42","14261.00","","352.00","807.00","1157.70"
"Chile","2005","16297.49","14282.15","2015.35","14139.00","14139.00","0.00","143.00","1512.00","947.00","565.00","503.00","15651.00","15086.00","565.00","646.00","13996.50","","142.82","142.82","285.65","1672.74","","40.31","302.30","342.61","15670.00","","183.00","445.00","627.49"
"Chile","2008","16803.95","14869.99","1933.97","14721.00","14721.00","0.00","149.00","1450.00","909.00","541.00","484.00","16171.00","15630.00","541.00","633.00","14572.59","","148.70","148.70","297.40","1605.19","","38.68","290.10","328.78","16178.00","","188.00","439.00","625.95"
"China","1990","1142089.90","312932.63","829157.27","303545.00","269122.00","34423.00","9388.00","464328.00","348246.00","116082.00","364829.00","767873.00","617368.00","150505.00","374217.00","150207.66","78233.16","9387.98","75103.83","162724.97","315079.76","49749.44","74624.15","389703.92","514077.51","465288.00","127982.00","84012.00","464808.00","676801.90"
"China","1995","1210969.08","379687.25","831281.83","368297.00","337922.00","30375.00","11390.00","523708.00","423954.00","99754.00","307574.00","892005.00","761876.00","130129.00","318964.00","197437.37","102515.56","15187.49","64546.83","182249.88","349138.37","49876.91","58189.73","374076.82","482143.46","546575.00","152393.00","73377.00","438624.00","664394.08"
"China","2000","1266953.81","453290.73","813663.08","444225.00","417027.00","27198.00","9066.00","569564.00","480061.00","89503.00","244099.00","1013789.00","897088.00","116701.00","253165.00","249309.90","126921.41","22664.54","54394.89","203980.83","374285.01","56956.42","48819.78","333601.86","439378.07","623595.00","183877.00","71485.00","387997.00","643358.81"
